,User Address,MARS Airdrop
37024,terra19ctpgmxpnefsgz64k6qtn9kjdapfx77vzqrhxz,18473222
37045,terra1qzmn5qr9utn5ef0rluyvmacrw7xd8wssnpw8f6,18473222
37032,terra1fr4qn5v6737qgmtcff8hrwhna2tejsa0cu0s59,18473222
37044,terra16g34yfy967q0lln3ww8tefc8w7c7r2grvhm00t,18473222
37043,terra16ghavw0h4spagfgrpw8weg4xwd93z9sr577rh9,18473222
37095,terra1vxkwc5xn688v9s8es0uq2vls8qvtqh5qw72jh4,18473222
37041,terra13qegfyxpaj7utw2c9n30u4feqydgm28as8men2,18473222
37040,terra16f8ux2laakctxt4xnsujcdl0vy3nrxx4p9ml3k,18473222
37039,terra1kjyk39gqxqeh7xam6ejc7l3ng6edgsgn0duf7w,18473222
37038,terra1h3z8mzwlvtlzvuktgswanrnrfwdhvsq42jwylk,18473222
37037,terra1dywpvspya60alrkhjg2rtlq8p6tst5c405a55f,18473222
37036,terra1hl3p999wh7rdfdky4f2drxekggmx40x6tcwyjz,18473222
37035,terra1hjxs5smlgezm63463tjhrwz9wk5cpn2v65u60j,18473222
37226,terra1fz704tme9sm0az8qx7qgpgd9pn67r2wam224z6,18473222
37013,terra104ttrd5835pph00sgq94lsprtksfsepuxwlvjv,18473222
37029,terra1scufk78pw5ewg5uc9jujvrr9lljuvsjnvt2neg,18473222
37210,terra1kk08xtdgjk33ynj3m9ekjxu2meu6wycqy8aqtr,18473222
37011,terra17gzn5qcpwk28yzdsrklt7uk9t2d4te7g6gdzkw,18473222
37207,terra124ywtl7j3ytfwykuxk68v7zl3kknsvvatv6qq9,18473222
37028,terra1tnfwgepadlwf9gkr3dgkfrr22kgec865v9aedy,18473222
37027,terra1tj0sz6ykpw508540menumx6x4zflrhflzyzlxd,18473222
37026,terra1hjznem78eejztg2lldyx59zjmvcyemrnkwm0vh,18473222
37025,terra1kdjj68hja3unj6e6n0dcs0y2d73g6xats5n5eq,18473222
37219,terra1ulju4f775zfx0a7zsnwu3ysfuzl530qnwt0uhy,18473222
37216,terra1afhre4qttrmd8nde29w45u3uv6qxu48hzj7vdk,18473222
37097,terra1g34f8yfppzhlj3gnvceezwpw8ggftj0zz72scr,18473222
37202,terra1yxq2r8svmgmak7h06f23wkc9wng83ufywkp0sk,18473222
37203,terra1sfnvu8g2yvx64nv2wal9tye9klpamlslaend4q,18473222
37204,terra1zhvjx7m8wf9hxcw73td46xl3cwy7dzehv7mzhr,18473222
37160,terra1544h9fkp9eh3vnu3vrd6l6926ptyn0wgq6gcr5,18473222
37205,terra10uypgz8nfk8vysdwnh4g4vcehuqffxelqnwmf3,18473222
37171,terra1j2fzytx207u5f2ta7fgfj0zx5jrwr99ptp84xj,18473222
37030,terra1jgvynsdhcazjzy0p60p6f8lzymv47ja4h5ls2r,18473222
37170,terra1kvvsxyx252pujhmcx6xpvnyhcq40jkywrdpx3d,18473222
37168,terra125myx40teh95mqkv33re9ahm8ygzwtjcfg5hnf,18473222
37167,terra1sqnyeeupvwgnt9rp86dzx979hh84cg9nca52km,18473222
37200,terra1mf4ezrytvlttdjxzwx3r02d6vfm20l33s72t7s,18473222
37208,terra1u03csxu752qmtd6e3z3ezd6qjgaaqsg2kqp4h2,18473222
37165,terra1hf99mge766talpsaq5kd5s0785z8y7p6pjm5dn,18473222
37164,terra1gu6973quupl5f7g9054sdu7vh0ajpxx0nqp4vl,18473222
37163,terra1kc9r5h78zhs67g74mz24qj0k0ptgxghk9jsh2k,18473222
37209,terra1w3c2nhz3tezunv24vlduuas9xykcx2evpdm5ea,18473222
37162,terra1267rlwkffgun77w0ha5rzp8lftl9dd80c8l6v6,18473222
37206,terra19jgh9hcystlfkzhal3nxv8tfs0x2sgt9az0jm4,18473222
37158,terra1v5uf8kjn2l7ajn9smm667cw3ryt642xwkg8fsv,18473222
37166,terra10752r5zlgd72n0s6yj5mh3ttqu2ewxxgwrqrk3,18473222
36575,terra19ktuzj4skdnq7l4jzl0cm24fy865pf4dh3zyac,18473222
37154,terra1c4rv59alzhvgjd8wef7sk5mv9sn4rdcdm2wrp3,18473222
